epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8904,0.86817,1.93754,1.13694,0.44744,0.64629,0.61626,0.44293,0.91231,1.66554,1.21691,0.000549493,0.000549493,0.000549493
2,49.8276,0.95828,1.57359,1.20876,0.46147,0.54464,0.49861,0.31845,1.15968,2.00895,1.60153,0.00110151,0.00110151,0.00110151
3,73.1879,1.01022,1.53859,1.23823,0.53897,0.7125,0.63405,0.39557,1.19649,1.88732,1.5126,0.00164986,0.00164986,0.00164986
4,96.4579,0.99865,1.38522,1.21673,0.52025,0.59409,0.54786,0.35859,1.20323,1.65272,1.50385,0.0016505,0.0016505,0.0016505
5,120.347,1.03257,1.34334,1.23257,0.56113,0.70657,0.68465,0.46317,0.9489,1.645,1.23434,0.001645,0.001645,0.001645
6,143.633,0.95929,1.25938,1.20895,0.74976,0.70232,0.78436,0.59173,0.97613,1.02963,1.26939,0.00163949,0.00163949,0.00163949
7,167.45,0.94697,1.13618,1.1792,0.59978,0.7033,0.74616,0.58558,0.87046,1.20435,1.17353,0.00163399,0.00163399,0.00163399
8,191.026,0.94383,1.10888,1.18068,0.80252,0.71632,0.78887,0.60581,0.85231,1.069,1.15793,0.00162849,0.00162849,0.00162849
9,214.864,0.92117,1.07947,1.15658,0.57708,0.71429,0.65918,0.50522,0.85166,1.29873,1.15265,0.00162299,0.00162299,0.00162299
10,238.638,0.9362,1.05472,1.17098,0.7835,0.6772,0.7799,0.60257,0.8409,1.0485,1.19565,0.00161749,0.00161749,0.00161749
11,262.334,0.92608,0.9706,1.15663,0.68465,0.75206,0.77415,0.58229,0.91945,1.07321,1.20005,0.00161199,0.00161199,0.00161199
12,286.2,0.9158,0.98224,1.1533,0.68601,0.75481,0.81182,0.62432,0.8119,0.93508,1.14169,0.00160649,0.00160649,0.00160649
13,309.679,0.91834,0.94208,1.14951,0.8425,0.74519,0.84007,0.67076,0.82529,0.82386,1.15367,0.00160099,0.00160099,0.00160099
14,333.33,0.90965,0.91661,1.14978,0.70373,0.79149,0.79501,0.61581,0.86555,0.9888,1.19549,0.00159549,0.00159549,0.00159549
15,356.62,0.86149,0.8876,1.12709,0.78822,0.80388,0.84607,0.66766,0.82148,0.77927,1.15687,0.00158998,0.00158998,0.00158998
16,379.656,0.86228,0.84352,1.13091,0.86258,0.7469,0.86329,0.67821,0.79216,0.75321,1.11175,0.00158448,0.00158448,0.00158448
17,403.271,0.85575,0.83634,1.12621,0.87181,0.78545,0.87626,0.68993,0.79677,0.77772,1.11966,0.00157898,0.00157898,0.00157898
18,426.352,0.85245,0.83501,1.13003,0.86776,0.81181,0.87922,0.70279,0.80928,0.70082,1.11414,0.00157348,0.00157348,0.00157348
19,449.801,0.86915,0.82438,1.11458,0.92195,0.77004,0.86656,0.70489,0.74482,0.74296,1.07475,0.00156798,0.00156798,0.00156798
20,473.39,0.83705,0.81911,1.11137,0.85818,0.83036,0.86904,0.67933,0.79157,0.80087,1.1036,0.00156248,0.00156248,0.00156248
21,496.983,0.83655,0.78329,1.10192,0.74158,0.84821,0.82224,0.65659,0.76769,0.8183,1.11491,0.00155698,0.00155698,0.00155698
22,520.434,0.84508,0.78825,1.12341,0.89191,0.79148,0.86456,0.70777,0.77639,0.7019,1.13795,0.00155148,0.00155148,0.00155148
23,543.639,0.85253,0.77418,1.124,0.74855,0.88736,0.87817,0.69347,0.80173,0.74067,1.13283,0.00154598,0.00154598,0.00154598
24,567.178,0.8291,0.74419,1.10595,0.84392,0.86712,0.88675,0.71558,0.76684,0.65551,1.08836,0.00154047,0.00154047,0.00154047
25,590.63,0.82951,0.77866,1.1083,0.83129,0.81774,0.85032,0.68314,0.80806,0.90887,1.10599,0.00153497,0.00153497,0.00153497
26,614.232,0.81029,0.73791,1.10167,0.92023,0.77335,0.88188,0.71027,0.76034,0.68557,1.08893,0.00152947,0.00152947,0.00152947
27,637.951,0.81439,0.75551,1.09146,0.89775,0.79106,0.8705,0.69455,0.77172,0.73113,1.08391,0.00152397,0.00152397,0.00152397
28,661.571,0.82258,0.7455,1.09868,0.93217,0.80722,0.89825,0.71165,0.75121,0.66294,1.09586,0.00151847,0.00151847,0.00151847
29,685.109,0.81657,0.71148,1.08465,0.92782,0.82141,0.89614,0.70524,0.79435,0.61293,1.12405,0.00151297,0.00151297,0.00151297
30,708.346,0.80143,0.68317,1.09627,0.91929,0.8669,0.89831,0.71,0.81096,0.65671,1.13223,0.00150747,0.00150747,0.00150747
31,731.969,0.76677,0.68416,1.08711,0.82302,0.84821,0.8656,0.68911,0.80443,0.7304,1.11499,0.00150197,0.00150197,0.00150197
